matchId,t1Dragons,t2Dragons,t1Rift,t2Rift,topGoldDiff,jgGoldDiff,midGoldDiff,adcGoldDiff,suppGoldDiff,t1TopTowerTaken,t1MidTowerTaken,t1BotTowerTaken,t2TopTowerTaken,t2MidTowerTaken,t2BotTowerTaken
NA1_4252537693,1,1,0,0,-1168,-1166,-747,-2065,-809,0,0,0,0,0,0
NA1_4251209752,2,0,1,0,136,-22,2139,262,383,0,0,0,0,0,0
NA1_4250654747,1,1,0,0,65,-581,1447,-1647,1618,0,0,0,0,0,0
NA1_4251981382,1,1,0,0,-2061,1435,-304,349,351,1,0,0,0,0,0
NA1_4253387950,0,1,0,1,277,-530,-853,432,434,0,0,0,0,0,1
NA1_4254639484,1,1,0,0,-1836,1095,-2600,-5,-65,1,0,0,0,0,0
NA1_4245107739,1,0,0,1,-1320,-103,872,1695,1217,0,0,0,0,0,0
NA1_4244359282,0,2,0,0,327,833,-2586,-3023,-973,0,0,1,0,0,0
NA1_4249994858,1,0,0,1,-1265,1708,116,1001,1070,0,0,0,0,0,0
NA1_4255866943,1,0,0,1,746,1395,-801,1697,908,1,0,0,0,0,1
NA1_4245496191,1,1,1,0,2276,-1611,-1952,-5,-455,0,0,0,1,0,0
NA1_4251987492,1,1,1,0,2285,-496,-634,-702,-1492,0,0,0,1,0,0
NA1_4255386633,1,0,0,1,36,-1110,-2265,-1525,-210,1,2,0,0,0,0
NA1_4254848508,2,0,1,0,-319,875,1635,-1633,-23,0,0,1,0,0,1
NA1_4248703504,1,0,0,1,-996,-1473,-2082,729,1943,0,0,0,0,0,0
NA1_4245242404,0,2,0,1,917,-636,-5967,-1087,-1173,0,2,1,0,0,0
NA1_4238933572,0,2,1,0,1583,250,1867,2281,3014,0,0,0,1,0,0
NA1_4258938876,1,0,1,0,1518,1392,620,-1383,-1507,0,0,1,1,0,0
NA1_4247677195,1,0,0,1,-701,-2278,1826,-1438,-691,0,1,0,0,0,0
NA1_4258519273,1,1,1,0,1989,-876,381,-1553,-399,0,0,0,0,2,0
NA1_4253963377,1,0,1,0,1190,849,1891,781,1393,0,0,0,0,0,1
NA1_4247959659,2,0,1,0,-971,-336,784,-608,1584,0,0,0,0,0,0
NA1_4260511333,1,0,1,0,2732,-219,1458,-324,-1008,0,0,0,2,0,0
NA1_4248029965,2,0,1,0,-1224,-284,1228,941,1060,0,0,0,0,0,0
NA1_4250989905,1,1,0,0,2484,-234,-912,720,267,0,0,0,1,0,0
NA1_4249617915,0,2,0,1,2338,-983,1723,143,-2118,0,0,0,0,0,0
NA1_4247233455,0,1,1,0,663,1091,634,-253,339,0,0,0,0,0,0
NA1_4237725473,1,0,0,0,-1132,1246,20,900,292,0,0,0,0,0,0
NA1_4250534791,1,1,0,1,1384,-1345,-1555,1754,913,0,0,0,0,0,1
NA1_4240416458,1,1,0,1,-324,525,-573,486,1125,0,0,0,0,0,0
NA1_4242562639,1,1,0,1,722,-163,179,1185,309,0,0,0,0,0,0
NA1_4243868989,1,0,1,0,-617,-429,-329,-470,-1254,0,0,0,0,0,0
NA1_4237477813,0,2,1,0,-3131,1935,-6,-404,88,1,0,0,0,1,0
NA1_4245650043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA1_4246123829,2,0,1,0,1764,136,-1167,2591,73,0,0,0,1,0,0
NA1_4238548886,1,0,1,0,3725,-938,-217,-1010,-602,0,0,0,1,0,0
NA1_4254426980,0,1,0,1,477,1369,1588,1322,712,0,1,0,0,0,0
NA1_4258361712,0,1,1,0,-1306,1332,-377,3462,1426,0,0,0,0,1,1
NA1_4235093687,0,1,0,1,-438,985,-2077,5,-682,0,0,0,0,0,0
NA1_4252501549,1,1,0,1,414,-2593,-4742,1941,663,0,0,1,0,0,1
NA1_4259699307,0,1,1,0,-662,73,1887,1488,-611,0,0,0,0,0,0
NA1_4238321593,2,0,0,1,-1583,-1414,-99,135,-230,0,0,0,0,0,0
NA1_4247349429,2,0,0,1,462,2155,27,1247,357,0,0,0,1,0,0
NA1_4240293642,2,0,1,0,2578,1909,1966,-52,1280,0,0,0,0,1,0
NA1_4244506817,2,0,1,0,1837,601,3262,-209,33,0,0,0,2,0,0
NA1_4246294227,1,1,0,1,-2229,121,-1212,-828,284,0,0,0,0,0,0
NA1_4238583367,1,1,0,0,-1297,-132,-994,-1985,-350,0,0,0,0,0,0
NA1_4239104447,1,1,1,0,-1008,731,372,1012,23,0,0,0,0,1,0
NA1_4256501162,2,0,1,0,1821,2431,1607,-2680,-1515,0,0,1,1,0,0
NA1_4244491799,0,2,1,0,2102,3137,-2258,193,131,0,0,0,1,0,0
NA1_4238422473,1,0,1,0,-1321,1516,-363,908,-82,0,0,0,0,0,0
NA1_4254876146,0,1,0,0,-1248,-35,-2751,-1135,1179,0,0,0,0,0,0
NA1_4255630215,0,2,0,1,1205,-258,-298,-1789,1100,0,1,0,0,0,0
NA1_4242228654,1,0,1,0,2196,361,433,1183,504,0,0,0,0,0,0
NA1_4249866264,0,2,0,1,832,-377,-1434,-1293,-544,0,0,0,0,0,0
NA1_4235888857,1,1,1,0,1464,988,1747,-1842,862,0,0,0,1,0,0
NA1_4253494510,1,1,0,1,2126,-1190,-2570,644,451,0,1,0,0,0,0
NA1_4251524241,1,0,0,1,669,-3010,-1482,1029,1082,0,0,0,1,0,0
NA1_4250614348,0,2,0,0,2274,-404,881,-1923,-1866,0,0,0,1,0,0
NA1_4251738976,2,0,1,0,-449,-1424,-1330,601,530,0,0,0,0,0,0
NA1_4260646316,1,1,1,0,184,-1153,-890,-934,-826,0,0,0,0,0,0
NA1_4251525094,0,1,0,1,-249,-706,175,642,169,0,0,0,0,0,0
NA1_4259514795,0,2,0,0,2373,554,-1968,148,748,0,0,0,1,0,0
NA1_4246899795,1,1,0,0,196,-1700,275,-193,314,0,0,0,0,0,0
NA1_4247181488,0,1,0,1,-689,-98,-211,520,-239,0,0,1,0,0,0
NA1_4251406398,2,0,0,0,2300,1622,-402,579,202,0,0,0,1,0,0
NA1_4250748175,1,0,1,0,387,997,906,-207,693,0,0,0,0,0,0
NA1_4238056494,1,0,0,1,3073,725,-431,1899,250,0,1,0,1,0,1
NA1_4238978408,1,1,1,0,748,-282,-1720,826,345,0,0,0,0,0,0
NA1_4249000541,1,0,1,0,-363,704,-208,2052,2079,0,0,0,0,0,1
NA1_4250045067,0,1,0,0,930,604,1500,-761,-1573,0,0,0,0,0,0
NA1_4242391684,1,1,0,0,-2393,929,-1634,1039,455,0,0,0,0,0,0
NA1_4252865677,0,1,0,0,-316,-2077,-1038,1651,-442,0,0,0,0,0,0
NA1_4255822906,1,0,0,0,-389,38,-87,2128,844,0,0,0,0,0,0
NA1_4256437844,0,1,1,0,-695,1904,-952,-395,-436,0,0,1,1,0,0
NA1_4246901682,0,2,1,0,3210,-1948,-84,-159,-312,0,0,0,2,0,0
NA1_4260518922,0,2,1,0,-110,-1119,857,-3125,1169,0,0,1,1,0,0
NA1_4252886028,1,1,1,0,-475,-1870,-867,909,480,0,0,0,0,0,0
NA1_4253492527,2,0,0,1,231,2801,-964,-710,-1081,0,0,0,0,0,0
NA1_4247056451,1,1,1,0,1135,986,2622,-908,-750,0,0,0,1,1,0
NA1_4242259979,0,1,1,0,1940,-1517,2115,-279,242,0,0,0,1,0,0
NA1_4259050259,1,0,1,0,1352,2804,1133,-2519,-893,0,0,1,1,0,0
NA1_4249615644,0,1,1,0,3008,3107,-844,310,210,0,0,0,1,1,0
NA1_4259201050,0,2,1,0,-1209,-1463,1863,-574,-371,0,0,0,0,0,0
NA1_4240496771,1,1,0,0,-461,229,-1475,525,-340,0,0,0,0,0,0
NA1_4238531146,0,1,0,1,-1534,-1437,-1423,606,-121,0,1,0,0,0,0
NA1_4235746194,0,1,1,0,2763,787,928,-859,-2216,0,0,0,1,0,0
NA1_4236227229,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
NA1_4236284362,0,2,0,1,-133,-296,-2982,-1323,1883,0,0,1,0,0,0
NA1_4250691811,1,0,0,0,-1575,-1012,530,456,-423,0,0,0,0,0,0
NA1_4244559593,1,0,1,0,2805,43,-1303,-376,150,0,0,0,2,0,0
NA1_4258927390,2,0,1,0,283,1886,290,2920,1924,1,0,0,1,0,2
NA1_4250687450,1,1,0,0,-3020,167,-183,331,888,1,0,0,0,0,0
NA1_4258684249,1,0,1,0,959,418,1958,1099,1723,0,0,0,0,2,0
NA1_4252912701,0,1,0,1,-2805,232,170,-325,1321,1,0,0,0,0,0
NA1_4248483788,0,1,1,0,370,541,845,-530,-194,0,0,0,0,1,0
