matchId,gameLength,winningTeam,team1Top,team1Jg,team1Mid,team1Adc,team1Supp,team2Top,team2Jg,team2Mid,team2Adc,team2Supp
NA1_4256933809,1774,100,Mordekaiser,Graves,Zed,Veigar,Thresh,Yorick,Nocturne,Ekko,Zeri,Morgana
NA1_4255610361,1113,100,Yone,MasterYi,Shaco,Jhin,Blitzcrank,Sion,Graves,Kaisa,Samira,Nami
NA1_4245571441,2205,200,Nasus,Hecarim,Yasuo,Ashe,Lulu,Malphite,MasterYi,Ahri,Vayne,Soraka
NA1_4252974704,1690,100,Mordekaiser,Darius,Akshan,Brand,Senna,Vayne,LeeSin,Fizz,Ashe,Renata
NA1_4259052155,1218,100,Yasuo,Vi,Karthus,Vayne,Leona,Yorick,Nunu,Singed,Zeri,Morgana
NA1_4259063898,1526,100,Camille,Hecarim,Vex,Jinx,Braum,Tryndamere,FiddleSticks,Vladimir,Samira,Nautilus
NA1_4256756676,1666,100,Jax,Warwick,Pyke,Ziggs,Lux,Sett,Trundle,Yasuo,Jinx,Alistar
NA1_4253324134,1829,100,Fiora,Amumu,Vex,Lucian,Rakan,Yorick,Hecarim,Akali,Aphelios,Lulu
NA1_4236081598,1268,100,Illaoi,Nunu,Akshan,Jhin,Velkoz,Sett,LeeSin,Leblanc,Jinx,Soraka
NA1_4248766843,1790,200,Yorick,Nocturne,Galio,Kaisa,Shen,Sett,Twitch,Singed,Vayne,Leona
NA1_4252537693,1304,200,Irelia,Hecarim,Lux,Jhin,Seraphine,Ornn,Zac,Yasuo,Ezreal,Nami
NA1_4251209752,1577,100,Trundle,JarvanIV,Karma,Kaisa,Rakan,Sett,Taliyah,Caitlyn,Qiyana,Swain
NA1_4250654747,1956,200,Jayce,Hecarim,Zed,Nami,Caitlyn,Tryndamere,Diana,Anivia,Samira,Leona
NA1_4251981382,1695,100,Darius,Graves,Corki,Ezreal,Lux,Sion,Zac,Leblanc,Kaisa,Lulu
NA1_4253387950,1693,100,Volibear,Viego,Lux,Lucian,Bard,Irelia,XinZhao,Katarina,Kaisa,Ashe
